,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
265,Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,Horror Mystery Thriller,i know what you did last summer,Muse Watson Sarah Michelle Gellar Anne Heche Jim Gillespie Horror Mystery Thriller
266,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,Horror Mystery,saw 3d: the final chapter,Costas Mandylor Gina Holden Betsy Russell Kevin Greutert Horror Mystery
267,Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller,they,Alexander Gould Ethan Embry Marc Blucas Robert Harmon Horror Mystery Thriller
268,Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,southland tales,Janeane Garofalo Curtis Armstrong Chris Andrew Ciulla Richard Kelly Comedy Mystery Sci-Fi Thriller
269,Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,the illusionist,Rufus Sewell Eddie Marsan Jake Wood Neil Burger Drama Mystery Romance Thriller
270,unknown,Joel Courtney,Jessika Van,Riley Smith,Drama Fantasy Mystery Thriller,the messengersÃÂ            ,Joel Courtney Jessika Van Riley Smith unknown Drama Fantasy Mystery Thriller
271,Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,Action Comedy Mystery,hot fuzz,Bill Bailey Joe Cornish Billie Whitelaw Edgar Wright Action Comedy Mystery
272,Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,Comedy Crime Mystery,drowning mona,Will Ferrell Jamie Lee Curtis Tracey Walter Nick Gomez Comedy Crime Mystery
273,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller,left behind,Nicolas Cage Lea Thompson Quinton Aaron Vic Armstrong Action Drama Fantasy Mystery Thriller
274,Josef Rusnak,Gretchen Mol,Craig Bierko,Brad William Henke,Mystery Sci-Fi Thriller,the thirteenth floor,Gretchen Mol Craig Bierko Brad William Henke Josef Rusnak Mystery Sci-Fi Thriller
275,Wayne Beach,Mekhi Phifer,LL Cool J,Fisher Stevens,Drama Mystery Thriller,slow burn,Mekhi Phifer LL Cool J Fisher Stevens Wayne Beach Drama Mystery Thriller
276,unknown,Bex Taylor-Klaus,Bobby Campo,Jason Wiles,Crime Drama Horror Mystery Thriller,scream: the tv seriesÃÂ            ,Bex Taylor-Klaus Bobby Campo Jason Wiles unknown Crime Drama Horror Mystery Thriller
277,Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall,Horror Mystery Sci-Fi,the faculty,Jordana Brewster Salma Hayek Clea DuVall Robert Rodriguez Horror Mystery Sci-Fi
278,Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,Adventure Fantasy Horror Mystery Thriller,book of shadows: blair witch 2,Kim Director Erica Leerhsen Kurt Loder Joe Berlinger Adventure Fantasy Horror Mystery Thriller
279,John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett,Horror Mystery Thriller,urban legends: final cut,Loretta Devine Joey Lawrence Jacinda Barrett John Ottman Horror Mystery Thriller
280,David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,Horror Mystery Sci-Fi Thriller,disturbing behavior,Bruce Greenwood Ethan Embry Katharine Isabelle David Nutter Horror Mystery Sci-Fi Thriller
281,Stephan Elliott,Jason Priestley,Patrick Bergin,GeneviÃÂ¨ve Bujold,Drama Mystery Thriller,eye of the beholder,Jason Priestley Patrick Bergin GeneviÃÂ¨ve Bujold Stephan Elliott Drama Mystery Thriller
282,unknown,David Ogden Stiers,Nicole de Boer,Chris Bruno,Drama Fantasy Mystery Sci-Fi,the dead zoneÃÂ            ,David Ogden Stiers Nicole de Boer Chris Bruno unknown Drama Fantasy Mystery Sci-Fi
283,Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,Drama Mystery Thriller,the in crowd,Matthew Settle Susan Ward A.J. Buckley Mary Lambert Drama Mystery Thriller
284,Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Adventure Crime Drama Mystery Western,three burials,Levon Helm Dwight Yoakam Guillermo Arriaga Tommy Lee Jones Adventure Crime Drama Mystery Western
285,Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Comedy Crime Mystery,kiss kiss bang bang,Robert Downey Jr. Corbin Bernsen Larry Miller Shane Black Comedy Crime Mystery
286,David Lynch,Naomi Watts,Robert Forster,Laura Harring,Drama Mystery Thriller,mulholland drive,Naomi Watts Robert Forster Laura Harring David Lynch Drama Mystery Thriller
287,Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Crime Drama Mystery Thriller,transsiberian,Thomas Kretschmann Eduardo Noriega Mac McDonald Brad Anderson Crime Drama Mystery Thriller
288,Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller,the return,Konstantin Lavronenko Vladimir Garin Nataliya Vdovina Andrey Zvyagintsev Drama Mystery Thriller
289,RyÃÂ»hei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery,the midnight meat train,Bradley Cooper Brooke Shields Leslie Bibb RyÃÂ»hei Kitamura Fantasy Horror Mystery
290,Vidhu Vinod Chopra,MarÃ­a Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horses,MarÃ­a Valverde Chris Marquette Chad Bishop Vidhu Vinod Chopra Action Crime Drama Mystery Thriller
291,Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,urban legend,Alicia Witt Loretta Devine Julian Richings Jamie Blanks Horror Mystery Thriller
292,Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,an american haunting,Sissy Spacek James D'Arcy Vernon Dobtcheff Courtney Solomon Horror Mystery Thriller
293,David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,a perfect getaway,Chris Hemsworth Milla Jovovich Marley Shelton David Twohy Adventure Mystery Thriller
294,Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,head over heels,Monica Potter Ivana Milicevic China Chow Mark Waters Comedy Mystery Romance
295,Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,gossip,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller
296,Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,soul survivors,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller
297,Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,the caveman's valentine,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons Crime Drama Music Mystery Thriller
298,Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car?",Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
299,Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,ex machina,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland Drama Mystery Sci-Fi Thriller
300,Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - mÃÂ¤n som hatar kvinnorÃÂ            ,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
301,Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,Drama Mystery Romance Thriller,chloe,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan Drama Mystery Romance Thriller
302,James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,Crime Drama Mystery,glengarry glen ross,Kevin Spacey Al Pacino Jude Ciccolella James Foley Crime Drama Mystery
303,Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis,Horror Mystery,sorority row,Julian Morris Margo Harshman Rumer Willis Stewart Hendler Horror Mystery
304,Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Action Adventure Comedy Fantasy Mystery,the golden child,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie Action Adventure Comedy Fantasy Mystery
305,David Moreau,ChloÃÂ« Grace Moretz,Alessandro Nivola,Obba BabatundÃÂ©,Horror Mystery,the eye,ChloÃÂ« Grace Moretz Alessandro Nivola Obba BabatundÃÂ© David Moreau Horror Mystery
306,David Koepp,Illeana Douglas,Kathryn Erbe,Lusia Strus,Horror Mystery Thriller,stir of echoes,Illeana Douglas Kathryn Erbe Lusia Strus David Koepp Horror Mystery Thriller
307,Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,Drama Mystery Romance,paper towns,Nat Wolff Cara Delevingne Meg Crosbie Jake Schreier Drama Mystery Romance
308,Jane Campion,Jennifer Jason Leigh,Nick Damici,Susan Gardner,Mystery Thriller,in the cut,Jennifer Jason Leigh Nick Damici Susan Gardner Jane Campion Mystery Thriller
309,Neil Jordan,Tony Curran,Stephen Rea,Alicja Bachleda,Drama Mystery Romance,ondine,Tony Curran Stephen Rea Alicja Bachleda Neil Jordan Drama Mystery Romance
310,Vadim Perelman,Eva Amurri Martino,Lynn Cohen,Brett Cullen,Drama Mystery Thriller,the life before her eyes,Eva Amurri Martino Lynn Cohen Brett Cullen Vadim Perelman Drama Mystery Thriller
311,Vincenzo Natali,David Hewlett,Jeremy Northam,Kari Matchett,Mystery Romance Sci-Fi Thriller,cypher,David Hewlett Jeremy Northam Kari Matchett Vincenzo Natali Mystery Romance Sci-Fi Thriller
312,Christopher Smith,Rachael Carpani,Michael Dorman,Emma Lung,Fantasy Mystery Thriller,triangle,Rachael Carpani Michael Dorman Emma Lung Christopher Smith Fantasy Mystery Thriller
313,Stephen Daldry,Wagner Moura,Selton Mello,Daniel Zettel,Adventure Crime Drama Mystery Thriller,trash,Wagner Moura Selton Mello Daniel Zettel Stephen Daldry Adventure Crime Drama Mystery Thriller
314,Kevin Greutert,Costas Mandylor,Shawnee Smith,George Newbern,Horror Mystery,saw vi,Costas Mandylor Shawnee Smith George Newbern Kevin Greutert Horror Mystery
315,David Hackl,Julie Benz,Costas Mandylor,Scott Patterson,Horror Mystery,saw v,Julie Benz Costas Mandylor Scott Patterson David Hackl Horror Mystery
316,Ray Lawrence,John Howard,Deborra-Lee Furness,Max Cullen,Crime Drama Mystery Thriller,jindabyne,John Howard Deborra-Lee Furness Max Cullen Ray Lawrence Crime Drama Mystery Thriller
317,Stanley Kubrick,Keir Dullea,Gary Lockwood,Glenn Beck,Adventure Mystery Sci-Fi,2001: a space odyssey,Keir Dullea Gary Lockwood Glenn Beck Stanley Kubrick Adventure Mystery Sci-Fi
318,Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Leigh Whannell,Horror Mystery,saw iii,Costas Mandylor Shawnee Smith Leigh Whannell Darren Lynn Bousman Horror Mystery
319,Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Horror Mystery,saw iv,Costas Mandylor Shawnee Smith Angus Macfadyen Darren Lynn Bousman Horror Mystery
320,Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Drama Horror Mystery Thriller,white noise,Deborah Kara Unger Keegan Connor Tracy Mike Dopud Geoffrey Sax Drama Horror Mystery Thriller
321,Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,Horror Mystery Thriller,the grudge,Sarah Michelle Gellar Clea DuVall Ted Raimi Takashi Shimizu Horror Mystery Thriller
322,Victor Salva,Eileen Brennan,Patricia Belcher,Jonathan Breck,Horror Mystery,jeepers creepers,Eileen Brennan Patricia Belcher Jonathan Breck Victor Salva Horror Mystery
323,Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Animation Comedy Family Mystery Sci-Fi,recess: school's out,Diedrich Bader Andrew Lawrence Dabney Coleman Chuck Sheetz Animation Comedy Family Mystery Sci-Fi
324,William Brent Bell,Lauren Cohan,Rupert Evans,Stephanie Lemelin,Horror Mystery Thriller,the boy,Lauren Cohan Rupert Evans Stephanie Lemelin William Brent Bell Horror Mystery Thriller
325,John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Horror Mystery Thriller,devil,Bojana Novakovic Bokeem Woodbine Geoffrey Arend John Erick Dowdle Horror Mystery Thriller
326,CiarÃÂ¡n Foy,Laila Haley,James Ransone,Jaden Klein,Horror Mystery Thriller,sinister 2,Laila Haley James Ransone Jaden Klein CiarÃÂ¡n Foy Horror Mystery Thriller
327,Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Horror Mystery Thriller,valentine,Marley Shelton Jessica Capshaw Johnny Whitworth Jamie Blanks Horror Mystery Thriller
328,Olatunde Osunsanmi,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,Mystery Sci-Fi Thriller,the fourth kind,Milla Jovovich Will Patton Hakeem Kae-Kazim Olatunde Osunsanmi Mystery Sci-Fi Thriller
329,James Foley,Byron Mann,Paul Ben-Victor,Kim Chan,Action Crime Drama Mystery Thriller,the corruptor,Byron Mann Paul Ben-Victor Kim Chan James Foley Action Crime Drama Mystery Thriller
330,Brian De Palma,Melanie Griffith,Dennis Franz,Gregg Henry,Mystery Thriller,body double,Melanie Griffith Dennis Franz Gregg Henry Brian De Palma Mystery Thriller
331,unknown,Michaela Conlin,T.J. Thyne,Tamara Taylor,Comedy Crime Drama Mystery Romance,bonesÃÂ            ,Michaela Conlin T.J. Thyne Tamara Taylor unknown Comedy Crime Drama Mystery Romance
332,FranÃÂ§ois Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,Drama Music Mystery Romance,the red violin,Johannes Silberschneider Clotilde Mollet Carlo Cecchi FranÃÂ§ois Girard Drama Music Mystery Romance
333,John Putch,Robert Picardo,Diedrich Bader,Esai Morales,Drama Mystery Sci-Fi,atlas shrugged ii: the strike,Robert Picardo Diedrich Bader Esai Morales John Putch Drama Mystery Sci-Fi
334,Steven Soderbergh,Peter Fonda,Lesley Ann Warren,William Lucking,Crime Drama Mystery Thriller,the limey,Peter Fonda Lesley Ann Warren William Lucking Steven Soderbergh Crime Drama Mystery Thriller
335,Jason Zada,Eoin Macken,Stephanie Vogt,Gen Seto,Horror Mystery Thriller,the forest,Eoin Macken Stephanie Vogt Gen Seto Jason Zada Horror Mystery Thriller
336,Franklin J. Schaffner,Frank Langella,William Hootkins,John Gielgud,Adventure Mystery Thriller,sphinx,Frank Langella William Hootkins John Gielgud Franklin J. Schaffner Adventure Mystery Thriller
337,David Cronenberg,Miranda Richardson,John Neville,Lynn Redgrave,Drama Mystery Thriller,spider,Miranda Richardson John Neville Lynn Redgrave David Cronenberg Drama Mystery Thriller
338,Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,Drama Mystery Thriller,strangerland,Nicholas Hamilton Reef Ireland Sean Keenan Kim Farrant Drama Mystery Thriller
339,ÃÂlex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,Crime Mystery Thriller,the oxford murders,Jim Carter Leonor Watling Danny Sapani ÃÂlex de la Iglesia Crime Mystery Thriller
340,Pedro AlmodÃÂ³var,Carmen Maura,Lola DueÃÂ±as,Antonio de la Torre,Comedy Crime Drama Mystery,volver,Carmen Maura Lola DueÃÂ±as Antonio de la Torre Pedro AlmodÃÂ³var Comedy Crime Drama Mystery
341,Hong-jin Na,Jung-min Hwang,Jun Kunimura,Woo-hee Chun,Fantasy Horror Mystery Thriller,the wailing,Jung-min Hwang Jun Kunimura Woo-hee Chun Hong-jin Na Fantasy Horror Mystery Thriller
342,Julian Jarrold,Andrew Garfield,Warren Clarke,John Henshaw,Crime Drama Mystery Thriller,red riding: in the year of our lord 1974,Andrew Garfield Warren Clarke John Henshaw Julian Jarrold Crime Drama Mystery Thriller
343,Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie",Sean Pertwee Steven Waddington Donald Sumpter Martyn Pick Action Animation Fantasy Horror Mystery Sci-Fi Thriller
344,Roland Suso Richter,Stephen Graham,Sarah Polley,Stephen Rea,Mystery Sci-Fi Thriller,the i inside,Stephen Graham Sarah Polley Stephen Rea Roland Suso Richter Mystery Sci-Fi Thriller
345,Joby Harold,Hayden Christensen,Fisher Stevens,Denis O'Hare,Crime Mystery Thriller,awake,Hayden Christensen Fisher Stevens Denis O'Hare Joby Harold Crime Mystery Thriller
346,Tom Elkins,Abigail Spencer,Cicely Tyson,Brad James,Drama Horror Mystery Thriller,the haunting in connecticut 2: ghosts of georgia,Abigail Spencer Cicely Tyson Brad James Tom Elkins Drama Horror Mystery Thriller
347,Masayuki Ochiai,James Kyson,David Denman,Daisy Betts,Horror Mystery Thriller,shutter,James Kyson David Denman Daisy Betts Masayuki Ochiai Horror Mystery Thriller
348,Wes Craven,Miko Hughes,Heather Langenkamp,Tracy Middendorf,Fantasy Horror Mystery Thriller,new nightmare,Miko Hughes Heather Langenkamp Tracy Middendorf Wes Craven Fantasy Horror Mystery Thriller
349,unknown,Dominic Cooper,Joseph Gilgun,Ruth Negga,Adventure Drama Fantasy Mystery,preacherÃÂ            ,Dominic Cooper Joseph Gilgun Ruth Negga unknown Adventure Drama Fantasy Mystery
350,Keith Gordon,Robert Downey Jr.,Robin Wright,Alfre Woodard,Comedy Crime Musical Mystery,the singing detective,Robert Downey Jr. Robin Wright Alfre Woodard Keith Gordon Comedy Crime Musical Mystery
351,FranÃÂ§ois Ozon,Charlotte Rampling,Ludivine Sagnier,Jean-Claude Lecas,Crime Drama Mystery Thriller,swimming pool,Charlotte Rampling Ludivine Sagnier Jean-Claude Lecas FranÃÂ§ois Ozon Crime Drama Mystery Thriller
352,Joe Carnahan,Jason Patric,Chi McBride,Alan Van Sprang,Crime Drama Mystery Thriller,narc,Jason Patric Chi McBride Alan Van Sprang Joe Carnahan Crime Drama Mystery Thriller
353,Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Angus Sampson,Horror Mystery Thriller,darkness falls,Sullivan Stapleton Emma Caulfield Angus Sampson Jonathan Liebesman Horror Mystery Thriller
354,Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Vanessa Ray,Horror Mystery,devil's due,Zach Gilford Allison Miller Vanessa Ray Matt Bettinelli-Olpin Horror Mystery
355,Aaron Schneider,Bill Murray,Robert Duvall,Bill Cobbs,Drama Mystery,get low,Bill Murray Robert Duvall Bill Cobbs Aaron Schneider Drama Mystery
356,unknown,Jensen Ackles,Ashley Scott,John Savage,Action Drama Mystery Sci-Fi,dark angelÃÂ            ,Jensen Ackles Ashley Scott John Savage unknown Action Drama Mystery Sci-Fi
357,Gus Van Sant,Matt Damon,Casey Affleck,unknown,Adventure Drama Mystery,gerry,Matt Damon Casey Affleck unknown Gus Van Sant Adventure Drama Mystery
358,Francis Ford Coppola,Alden Ehrenreich,Bruce Dern,Joanne Whalley,Comedy Fantasy Horror Mystery,twixt,Alden Ehrenreich Bruce Dern Joanne Whalley Francis Ford Coppola Comedy Fantasy Horror Mystery
359,Denis Villeneuve,Lubna Azabal,MÃÂ©lissa DÃÂ©sormeaux-Poulin,Ahmad Massad,Drama Mystery War,incendies,Lubna Azabal MÃÂ©lissa DÃÂ©sormeaux-Poulin Ahmad Massad Denis Villeneuve Drama Mystery War
360,John R. Leonetti,Alfre Woodard,Annabelle Wallis,Gabriel Bateman,Horror Mystery,annabelle,Alfre Woodard Annabelle Wallis Gabriel Bateman John R. Leonetti Horror Mystery
361,Brian De Palma,Angie Dickinson,David Margulies,Nancy Allen,Mystery Romance Thriller,dressed to kill,Angie Dickinson David Margulies Nancy Allen Brian De Palma Mystery Romance Thriller
362,Bryan Singer,Kevin Spacey,Chazz Palminteri,Kevin Pollak,Crime Drama Mystery Thriller,the usual suspects,Kevin Spacey Chazz Palminteri Kevin Pollak Bryan Singer Crime Drama Mystery Thriller
363,Brian Klugman,J.K. Simmons,Bradley Cooper,Olivia Wilde,Drama Mystery Romance Thriller,the words,J.K. Simmons Bradley Cooper Olivia Wilde Brian Klugman Drama Mystery Romance Thriller
364,unknown,Francis Capra,Jason Dohring,Enrico Colantoni,Crime Drama Mystery,veronica marsÃÂ            ,Francis Capra Jason Dohring Enrico Colantoni unknown Crime Drama Mystery
365,Jon Knautz,Rachel Alig,Monda Scott,Alexis Kendra,Drama Horror Mystery Thriller,goddess of love,Rachel Alig Monda Scott Alexis Kendra Jon Knautz Drama Horror Mystery Thriller
366,Jake Goldberger,Pruitt Taylor Vince,M. Emmet Walsh,Robert Wahlberg,Drama Mystery Thriller,don mckay,Pruitt Taylor Vince M. Emmet Walsh Robert Wahlberg Jake Goldberger Drama Mystery Thriller
367,David Cronenberg,Debbie Harry,Leslie Carlson,Reiner Schwarz,Horror Mystery Sci-Fi Thriller,videodrome,Debbie Harry Leslie Carlson Reiner Schwarz David Cronenberg Horror Mystery Sci-Fi Thriller
368,Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,Crime Mystery Thriller,murder by numbers,Ryan Gosling Chris Penn Agnes Bruckner Barbet Schroeder Crime Mystery Thriller
369,Clint Eastwood,Clint Eastwood,Richard Bull,John Hillerman,Mystery Western,high plains drifter,Clint Eastwood Richard Bull John Hillerman Clint Eastwood Mystery Western
370,James Cox,Alexis Dziena,Louis Lombardi,Franky G,Crime Drama Mystery Thriller,wonderland,Alexis Dziena Louis Lombardi Franky G James Cox Crime Drama Mystery Thriller
371,Gaspar NoÃÂ©,Philippe Nahon,Albert Dupontel,Jo Prestia,Crime Drama Mystery Thriller,irreversible,Philippe Nahon Albert Dupontel Jo Prestia Gaspar NoÃÂ© Crime Drama Mystery Thriller
372,Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,Horror Mystery,saw ii,Emmanuelle Vaugier Tony Nappo Shawnee Smith Darren Lynn Bousman Horror Mystery
373,Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,Drama Horror Mystery Sci-Fi Thriller,10 cloverfield lane,Bradley Cooper John Gallagher Jr. Sumalee Montano Dan Trachtenberg Drama Horror Mystery Sci-Fi Thriller
374,Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,Mystery Thriller,the gift,Busy Philipps Allison Tolman Wendell Pierce Joel Edgerton Mystery Thriller
375,Blake Edwards,Burt Kwouk,Herbert Lom,Catherine Schell,Comedy Crime Mystery,the return of the pink panther,Burt Kwouk Herbert Lom Catherine Schell Blake Edwards Comedy Crime Mystery
376,Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,Mystery Thriller,memento,Callum Rennie Thomas Lennon Jorja Fox Christopher Nolan Mystery Thriller
377,Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,Horror Mystery,oculus,James Lafferty Rory Cochrane Garrett Ryan Mike Flanagan Horror Mystery
378,John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,Horror Mystery Thriller,"as above, so below",Ben Feldman Edwin Hodge Perdita Weeks John Erick Dowdle Horror Mystery Thriller
379,John Sayles,Matthew McConaughey,Clifton James,Miriam Colon,Drama Mystery,lone star,Matthew McConaughey Clifton James Miriam Colon John Sayles Drama Mystery
380,Fred Walton,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,Horror Mystery,april fool's day,Thomas F. Wilson Deborah Foreman Clayton Rohner Fred Walton Horror Mystery
381,Gonzalo LÃÂ³pez-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,apollo 18,Warren Christie Ryan Robbins Andrew Airlie Gonzalo LÃÂ³pez-Gallego Horror Mystery Sci-Fi Thriller
382,Denys Arcand,Marie-JosÃÂ©e Croze,StÃÂ©phane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,the barbarian invasions,Marie-JosÃÂ©e Croze StÃÂ©phane Rousseau Marina Hands Denys Arcand Comedy Crime Drama Mystery Romance
383,Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,moon,Kevin Spacey Matt Berry Benedict Wong Duncan Jones Drama Mystery Sci-Fi
384,Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,zero effect,Kim Dickens Ryan O'Neal Angela Featherstone Jake Kasdan Comedy Crime Drama Mystery Thriller
385,Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,kill the messenger,Jeremy Renner Paz Vega Robert Pralgo Michael Cuesta Biography Crime Drama Mystery Thriller
386,James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
387,Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,fascination,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
388,unknown,Corbin Bernsen,DulÃÂ© Hill,Timothy Omundson,Comedy Crime Mystery,psychÃÂ            ,Corbin Bernsen DulÃÂ© Hill Timothy Omundson unknown Comedy Crime Mystery
389,Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,lady in white,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
390,Mike van Diem,Jan Decleir,Fedja van HuÃÂªt,Hans Kesting,Crime Drama Mystery,character,Jan Decleir Fedja van HuÃÂªt Hans Kesting Mike van Diem Crime Drama Mystery
391,Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,after.life,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
392,Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
393,Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,Mystery Thriller,the boy next door,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller
394,William Arntz,Marlee Matlin,Elaine Hendrix,Armin Shimerman,Comedy Documentary Drama Fantasy Mystery Sci-Fi,what the #$*! do we (k)now!?,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
395,Woody Allen,Scarlett Johansson,Kevin McNally,Geoff Bell,Comedy Crime Mystery,scoop,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery
396,Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,Crime Mystery Thriller,the night listener,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller
397,Wes Craven,Frank Grillo,Emily Meade,Zena Grey,Horror Mystery Thriller,my soul to take,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller
398,J.A. Bayona,Geraldine Chaplin,BelÃÂ©n Rueda,Fernando Cayo,Drama Mystery Thriller,the orphanage,Geraldine Chaplin BelÃÂ©n Rueda Fernando Cayo J.A. Bayona Drama Mystery Thriller
399,Robert Lee King,Lauren Ambrose,Kathleen Robertson,Beth Broderick,Comedy Horror Mystery,psycho beach party,Lauren Ambrose Kathleen Robertson Beth Broderick Robert Lee King Comedy Horror Mystery
